Distance,NOS
3.467586914000000320e+01,8.700000000000000000e+01
3.971813265000000115e+01,3.300000000000000000e+01
3.870948561000000154e+01,6.300000000000000000e+01
3.958451148999999702e+01,1.360000000000000000e+02
3.695342262999999861e+01,1.010000000000000000e+02
4.473993529999999907e+01,1.500000000000000000e+01
3.953994826999999646e+01,1.000000000000000000e+01
3.919996109000000217e+01,1.500000000000000000e+01
4.347500428000000028e+01,2.400000000000000000e+01
3.000000118999999743e-01,1.279000000000000000e+03
4.786669444999999712e+01,1.800000000000000000e+01
3.995700450999999731e+01,1.420000000000000000e+02
3.996893677999999994e+01,1.870000000000000000e+02
4.339893552000000199e+01,9.800000000000000000e+01
4.006951346999999686e+01,4.600000000000000000e+01
5.044382946999999717e+01,4.100000000000000000e+01
5.189994271999999853e+01,6.000000000000000000e+00
4.043994597999999741e+01,1.500000000000000000e+01
3.747610970000000208e+01,8.800000000000000000e+01
3.831814314999999738e+01,1.100000000000000000e+01
3.709685391000000010e+01,3.200000000000000000e+01
2.998196877000000171e+01,2.500000000000000000e+02
4.595625113999999911e+01,1.600000000000000000e+01
1.984468164999999829e+01,9.400000000000000000e+01
3.000000118999999743e-01,2.117000000000000000e+03
3.000000118999999743e-01,8.880000000000000000e+02
3.000000118999999743e-01,1.625000000000000000e+03
3.000000118999999743e-01,1.667000000000000000e+03
3.047184061999999827e+01,1.030000000000000000e+02
2.187810843000000105e+01,9.600000000000000000e+01
2.642086360000000056e+01,1.150000000000000000e+02
2.476507863999999870e+01,2.090000000000000000e+02
3.241645367999999650e+01,9.100000000000000000e+01
4.544656582999999728e+01,1.760000000000000000e+02
3.899637458000000123e+01,1.670000000000000000e+02
3.522643223000000035e+01,2.040000000000000000e+02
3.541761640000000000e+01,1.700000000000000000e+02
2.944612781000000012e+01,7.800000000000000000e+01
3.186740903999999830e+01,1.290000000000000000e+02
2.963997519999999852e+01,2.950000000000000000e+02
3.049088718999999870e+01,8.800000000000000000e+01
3.972018474000000055e+01,2.620000000000000000e+02
1.745077112999999969e+01,9.040000000000000000e+02
1.228692415999999987e+01,3.900000000000000000e+02
1.552444816000000039e+01,5.480000000000000000e+02
1.643625305000000125e+01,4.330000000000000000e+02
3.000000118999999743e-01,5.640000000000000000e+02
3.000000118999999743e-01,9.900000000000000000e+02
3.000000118999999743e-01,1.316000000000000000e+03
3.000000118999999743e-01,1.319000000000000000e+03
3.000000118999999743e-01,1.356000000000000000e+03
3.000000118999999743e-01,7.390000000000000000e+02
3.000000118999999743e-01,9.320000000000000000e+02
3.000000118999999743e-01,2.271000000000000000e+03
3.000000118999999743e-01,1.054000000000000000e+03
1.756337057000000001e+01,3.140000000000000000e+02
1.667814815999999922e+01,7.780000000000000000e+02
1.920084647999999916e+01,1.412000000000000000e+03
2.323146930000000054e+01,8.100000000000000000e+02
3.000000118999999743e-01,1.898000000000000000e+03
3.000000118999999743e-01,1.656000000000000000e+03
3.000000118999999743e-01,1.377000000000000000e+03
3.000000118999999743e-01,1.776000000000000000e+03
6.686247745000000187e+00,2.247000000000000000e+03
1.587736523999999960e+01,4.640000000000000000e+02
1.555500134000000045e+01,8.400000000000000000e+02
1.720899792999999889e+01,8.780000000000000000e+02
2.065246464999999887e+01,7.890000000000000000e+02
1.762962392000000023e+01,1.036000000000000000e+03
6.814359699999999798e+00,1.748000000000000000e+03
9.090025805999999875e+00,1.113000000000000000e+03
3.000000118999999743e-01,1.120000000000000000e+03
3.000000118999999743e-01,1.840000000000000000e+02
3.000000118999999743e-01,3.070000000000000000e+03
6.726338530999999676e+00,1.458000000000000000e+03
4.495923636999999751e+00,1.840000000000000000e+03
1.567735601000000045e+01,7.950000000000000000e+02
1.459077489000000050e+01,5.960000000000000000e+02
1.583349079999999987e+01,6.360000000000000000e+02
1.929165818999999971e+01,7.560000000000000000e+02
1.886686579999999935e+01,4.800000000000000000e+02
8.100672689999999676e+00,1.786000000000000000e+03
1.136343145000000021e+01,4.840000000000000000e+02
6.871697088000000342e+00,5.300000000000000000e+01
3.000000118999999743e-01,1.580000000000000000e+02
3.000000118999999743e-01,5.730000000000000000e+02
3.000000118999999743e-01,2.192000000000000000e+03
1.810834964000000014e+01,2.990000000000000000e+02
1.948473369999999960e+01,2.950000000000000000e+02
6.124786846000000118e+00,8.270000000000000000e+02
